actual_price,discounted_price,discount_percentage,count
"₹3,398",1699.0,50%,1
"₹3,490",1199.0,66%,1
"₹3,490",1599.0,54%,1
"₹3,495",1699.0,51%,1
"₹3,499",899.0,74%,1
"₹3,499",1299.0,63%,1
"₹3,499",1519.0,57%,1
"₹3,499",1599.0,54%,1
"₹3,499",1699.0,51%,1
"₹3,499",2649.0,24%,1
"₹3,499",2799.0,20%,1
"₹3,500",1199.0,66%,1
"₹3,500",1299.0,63%,1
₹999,949.0,5%,1
"₹3,500",1792.0,49%,1
"₹3,500",1989.0,43%,1
"₹3,500",2699.0,23%,1
"₹3,500",3199.0,9%,1
"₹3,550",2249.0,37%,1
"₹3,595",1799.0,50%,1
"₹3,595",2999.0,17%,1
"₹3,599",1599.0,56%,1
"₹3,645",2148.0,41%,1
"₹3,690",2863.0,22%,1
"₹3,790",1899.0,50%,1
"₹3,799",2699.0,29%,1
"₹3,799",2799.0,26%,1
"₹3,875",3498.0,10%,1
"₹3,890",1601.0,59%,1
"₹3,895",2199.0,44%,1
"₹3,899",2237.81,43%,1
"₹3,945",2499.0,37%,1
"₹3,945",2698.0,32%,1
"₹3,945",2719.0,31%,1
"₹3,945",2976.0,25%,1
₹999,453.0,55%,1
"₹3,990",1199.0,70%,1
"₹3,990",1220.0,69%,1
"₹3,990",1399.0,65%,1
"₹3,990",1499.0,62%,1
"₹3,990",1999.0,50%,1
"₹3,990",2490.0,38%,1
"₹3,995",2742.0,31%,1
"₹3,995",3349.0,16%,1
"₹3,999",599.0,85%,1
"₹3,999",1059.0,74%,1
"₹3,999",1149.0,71%,1
"₹3,999",1434.0,64%,1
₹999,455.0,54%,1
₹999,475.0,52%,1
"₹3,999",1699.0,58%,1
₹999,570.0,43%,1
"₹3,999",1999.0,50%,1
"₹3,999",2179.0,46%,1
"₹3,999",2199.0,45%,1
"₹3,999",2299.0,43%,1
"₹3,999",2499.0,38%,1
"₹30,990",10901.0,65%,1
₹300,149.0,50%,1
₹300,161.0,46%,1
